2025-08-23 23:43:27,448 - INFO - Step 1, Epoch 1: Retain=76.43, New=6.62, Forget=0.00, Combined=62.52, Balanced=41.52, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:44:32,860 - INFO - Step 1, Epoch 2: Retain=74.18, New=15.64, Forget=0.00, Combined=62.52, Balanced=44.91, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:45:39,388 - INFO - Step 1, Epoch 3: Retain=74.84, New=20.09, Forget=0.00, Combined=63.93, Balanced=47.46, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:46:45,538 - INFO - Step 1, Epoch 4: Retain=75.15, New=14.04, Forget=0.00, Combined=62.97, Balanced=44.60, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:47:51,084 - INFO - Step 1, Epoch 5: Retain=74.81, New=24.66, Forget=0.00, Combined=64.82, Balanced=49.73, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:48:57,061 - INFO - Step 1, Epoch 6: Retain=73.59, New=26.03, Forget=0.00, Combined=64.11, Balanced=49.81, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:50:03,469 - INFO - Step 1, Epoch 7: Retain=74.07, New=22.60, Forget=0.00, Combined=63.82, Balanced=48.34, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:51:10,219 - INFO - Step 1, Epoch 8: Retain=73.81, New=28.77, Forget=0.00, Combined=64.84, Balanced=51.29, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:52:16,027 - INFO - Step 1, Epoch 9: Retain=74.18, New=30.37, Forget=0.00, Combined=65.45, Balanced=52.27, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:53:22,338 - INFO - Step 1, Epoch 10: Retain=71.74, New=32.65, Forget=0.00, Combined=63.95, Balanced=52.19, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:54:28,605 - INFO - Step 1, Epoch 11: Retain=72.71, New=30.82, Forget=0.00, Combined=64.36, Balanced=51.76, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:55:35,264 - INFO - Step 1, Epoch 12: Retain=72.39, New=35.27, Forget=0.00, Combined=65.00, Balanced=53.83, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:56:41,867 - INFO - Step 1, Epoch 13: Retain=72.56, New=32.19, Forget=0.00, Combined=64.52, Balanced=52.38, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:57:48,115 - INFO - Step 1, Epoch 14: Retain=72.11, New=34.13, Forget=0.00, Combined=64.54, Balanced=53.12, Zero_Ratio=0.000, Phase=Retention
2025-08-23 23:58:54,263 - INFO - Step 1, Epoch 15: Retain=72.08, New=38.81, Forget=0.00, Combined=65.45, Balanced=55.45, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:00:00,427 - INFO - Step 1, Epoch 16: Retain=71.12, New=38.36, Forget=0.00, Combined=64.59, Balanced=54.74, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:01:06,867 - INFO - Step 1, Epoch 17: Retain=72.11, New=37.33, Forget=0.00, Combined=65.18, Balanced=54.72, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:02:12,833 - INFO - Step 1, Epoch 18: Retain=70.63, New=36.30, Forget=0.00, Combined=63.79, Balanced=53.47, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:03:18,629 - INFO - Step 1, Epoch 19: Retain=72.20, New=36.64, Forget=0.00, Combined=65.11, Balanced=54.42, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:04:24,687 - INFO - Step 1, Epoch 20: Retain=70.72, New=42.12, Forget=0.00, Combined=65.02, Balanced=56.42, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:05:31,222 - INFO - Step 1, Epoch 21: Retain=70.49, New=40.30, Forget=0.00, Combined=64.48, Balanced=55.39, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:06:36,295 - INFO - Step 1, Epoch 22: Retain=70.09, New=42.92, Forget=0.00, Combined=64.68, Balanced=56.51, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:07:42,631 - INFO - Step 1, Epoch 23: Retain=71.12, New=41.32, Forget=0.00, Combined=65.18, Balanced=56.22, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:08:48,828 - INFO - Step 1, Epoch 24: Retain=71.14, New=38.01, Forget=0.00, Combined=64.54, Balanced=54.58, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:09:55,013 - INFO - Step 1, Epoch 25: Retain=70.78, New=41.10, Forget=0.00, Combined=64.86, Balanced=55.94, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:11:01,534 - INFO - Step 1, Epoch 26: Retain=68.36, New=44.18, Forget=0.00, Combined=63.54, Balanced=56.27, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:12:06,857 - INFO - Step 1, Epoch 27: Retain=70.52, New=46.69, Forget=0.00, Combined=65.77, Balanced=58.60, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:13:12,136 - INFO - Step 1, Epoch 28: Retain=70.24, New=40.30, Forget=0.00, Combined=64.27, Balanced=55.27, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:14:18,269 - INFO - Step 1, Epoch 29: Retain=70.18, New=46.35, Forget=0.00, Combined=65.43, Balanced=58.26, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:15:24,560 - INFO - Step 1, Epoch 30: Retain=68.84, New=41.21, Forget=0.00, Combined=63.34, Balanced=55.03, Zero_Ratio=0.000, Phase=Retention
2025-08-24 00:16:29,821 - INFO - Step 1, Epoch 31: Retain=68.84, New=45.43, Forget=0.00, Combined=64.18, Balanced=57.14, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:17:35,800 - INFO - Step 1, Epoch 32: Retain=70.78, New=46.23, Forget=0.00, Combined=65.89, Balanced=58.50, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:18:55,898 - INFO - Step 1, Epoch 33: Retain=69.44, New=46.80, Forget=0.00, Combined=64.93, Balanced=58.12, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:19:55,286 - INFO - Step 1, Epoch 34: Retain=68.36, New=51.03, Forget=0.00, Combined=64.91, Balanced=59.69, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:20:59,478 - INFO - Step 1, Epoch 35: Retain=69.10, New=47.49, Forget=0.00, Combined=64.79, Balanced=58.29, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:22:05,466 - INFO - Step 1, Epoch 36: Retain=68.11, New=54.57, Forget=0.00, Combined=65.41, Balanced=61.34, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:23:11,531 - INFO - Step 1, Epoch 37: Retain=69.41, New=46.92, Forget=0.00, Combined=64.93, Balanced=58.16, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:24:17,633 - INFO - Step 1, Epoch 38: Retain=69.13, New=50.57, Forget=0.00, Combined=65.43, Balanced=59.85, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:25:23,784 - INFO - Step 1, Epoch 39: Retain=67.99, New=59.70, Forget=0.00, Combined=66.34, Balanced=63.85, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:26:30,022 - INFO - Step 1, Epoch 40: Retain=68.25, New=55.59, Forget=0.00, Combined=65.73, Balanced=61.92, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:27:35,719 - INFO - Step 1, Epoch 41: Retain=67.34, New=57.19, Forget=0.00, Combined=65.32, Balanced=62.27, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:28:41,835 - INFO - Step 1, Epoch 42: Retain=66.74, New=55.94, Forget=0.00, Combined=64.59, Balanced=61.34, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:29:47,870 - INFO - Step 1, Epoch 43: Retain=66.40, New=54.57, Forget=0.00, Combined=64.04, Balanced=60.48, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:30:53,582 - INFO - Step 1, Epoch 44: Retain=68.73, New=55.25, Forget=0.00, Combined=66.05, Balanced=61.99, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:31:59,658 - INFO - Step 1, Epoch 45: Retain=66.69, New=60.39, Forget=0.00, Combined=65.43, Balanced=63.54, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:33:05,509 - INFO - Step 1, Epoch 46: Retain=67.28, New=54.00, Forget=0.00, Combined=64.63, Balanced=60.64, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:34:11,947 - INFO - Step 1, Epoch 47: Retain=66.80, New=67.92, Forget=0.00, Combined=67.02, Balanced=67.36, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:35:18,616 - INFO - Step 1, Epoch 48: Retain=67.20, New=55.71, Forget=0.00, Combined=64.91, Balanced=61.45, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:36:23,245 - INFO - Step 1, Epoch 49: Retain=64.21, New=60.96, Forget=0.00, Combined=63.57, Balanced=62.59, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:37:30,371 - INFO - Step 1, Epoch 50: Retain=65.92, New=66.10, Forget=0.00, Combined=65.95, Balanced=66.01, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:38:36,558 - INFO - Step 1, Epoch 51: Retain=65.46, New=66.78, Forget=0.00, Combined=65.73, Balanced=66.12, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:39:42,319 - INFO - Step 1, Epoch 52: Retain=64.87, New=63.36, Forget=0.00, Combined=64.57, Balanced=64.11, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:40:48,553 - INFO - Step 1, Epoch 53: Retain=65.63, New=68.72, Forget=0.00, Combined=66.25, Balanced=67.18, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:41:53,575 - INFO - Step 1, Epoch 54: Retain=63.19, New=68.04, Forget=0.00, Combined=64.16, Balanced=65.61, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:43:00,248 - INFO - Step 1, Epoch 55: Retain=65.04, New=68.61, Forget=0.00, Combined=65.75, Balanced=66.82, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:44:06,505 - INFO - Step 1, Epoch 56: Retain=65.95, New=65.41, Forget=0.00, Combined=65.84, Balanced=65.68, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:45:13,032 - INFO - Step 1, Epoch 57: Retain=64.50, New=72.60, Forget=0.00, Combined=66.11, Balanced=68.55, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:46:17,865 - INFO - Step 1, Epoch 58: Retain=66.20, New=72.03, Forget=0.00, Combined=67.36, Balanced=69.12, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:47:24,612 - INFO - Step 1, Epoch 59: Retain=65.27, New=70.89, Forget=0.00, Combined=66.39, Balanced=68.08, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:48:30,400 - INFO - Step 1, Epoch 60: Retain=65.55, New=69.75, Forget=0.00, Combined=66.39, Balanced=67.65, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:49:35,873 - INFO - Step 1, Epoch 61: Retain=64.75, New=73.29, Forget=0.00, Combined=66.45, Balanced=69.02, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:50:42,683 - INFO - Step 1, Epoch 62: Retain=65.21, New=71.12, Forget=0.00, Combined=66.39, Balanced=68.16, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:51:48,214 - INFO - Step 1, Epoch 63: Retain=63.90, New=73.97, Forget=0.00, Combined=65.91, Balanced=68.94, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:52:53,639 - INFO - Step 1, Epoch 64: Retain=63.31, New=74.43, Forget=0.00, Combined=65.52, Balanced=68.87, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:53:59,557 - INFO - Step 1, Epoch 65: Retain=63.25, New=74.09, Forget=0.00, Combined=65.41, Balanced=68.67, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:55:04,763 - INFO - Step 1, Epoch 66: Retain=63.62, New=71.58, Forget=0.00, Combined=65.20, Balanced=67.60, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:56:10,729 - INFO - Step 1, Epoch 67: Retain=63.53, New=74.20, Forget=0.00, Combined=65.66, Balanced=68.87, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:57:16,887 - INFO - Step 1, Epoch 68: Retain=62.82, New=73.40, Forget=0.00, Combined=64.93, Balanced=68.11, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:58:22,788 - INFO - Step 1, Epoch 69: Retain=64.67, New=74.09, Forget=0.00, Combined=66.55, Balanced=69.38, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 00:59:36,777 - INFO - Step 1, Epoch 70: Retain=63.73, New=73.06, Forget=0.00, Combined=65.59, Balanced=68.40, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:00:41,646 - INFO - Step 1, Epoch 71: Retain=60.30, New=75.00, Forget=0.00, Combined=63.22, Balanced=67.65, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:01:47,672 - INFO - Step 1, Epoch 72: Retain=64.16, New=74.66, Forget=0.00, Combined=66.25, Balanced=69.41, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:02:52,930 - INFO - Step 1, Epoch 73: Retain=61.97, New=77.85, Forget=0.00, Combined=65.14, Balanced=69.91, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:03:58,040 - INFO - Step 1, Epoch 74: Retain=62.54, New=78.08, Forget=0.00, Combined=65.64, Balanced=70.31, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:05:03,326 - INFO - Step 1, Epoch 75: Retain=63.02, New=75.57, Forget=0.00, Combined=65.52, Balanced=69.30, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:06:09,871 - INFO - Step 1, Epoch 76: Retain=63.48, New=76.37, Forget=0.00, Combined=66.05, Balanced=69.92, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:07:15,023 - INFO - Step 1, Epoch 77: Retain=62.57, New=77.17, Forget=0.00, Combined=65.48, Balanced=69.87, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:08:21,448 - INFO - Step 1, Epoch 78: Retain=62.23, New=75.46, Forget=0.00, Combined=64.86, Balanced=68.84, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:09:26,670 - INFO - Step 1, Epoch 79: Retain=62.77, New=74.77, Forget=0.00, Combined=65.16, Balanced=68.77, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:10:32,439 - INFO - Step 1, Epoch 80: Retain=62.06, New=77.28, Forget=0.00, Combined=65.09, Balanced=69.67, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:11:37,956 - INFO - Step 1, Epoch 81: Retain=62.43, New=78.20, Forget=0.00, Combined=65.57, Balanced=70.31, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:12:43,348 - INFO - Step 1, Epoch 82: Retain=62.99, New=76.48, Forget=0.00, Combined=65.68, Balanced=69.74, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:13:49,391 - INFO - Step 1, Epoch 83: Retain=61.97, New=77.51, Forget=0.00, Combined=65.07, Balanced=69.74, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:14:56,040 - INFO - Step 1, Epoch 84: Retain=62.97, New=76.26, Forget=0.00, Combined=65.61, Balanced=69.61, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:16:02,205 - INFO - Step 1, Epoch 85: Retain=62.26, New=77.63, Forget=0.00, Combined=65.32, Balanced=69.94, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:17:08,879 - INFO - Step 1, Epoch 86: Retain=61.49, New=75.34, Forget=0.00, Combined=64.25, Balanced=68.42, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:18:15,223 - INFO - Step 1, Epoch 87: Retain=61.26, New=79.34, Forget=0.00, Combined=64.86, Balanced=70.30, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:19:21,137 - INFO - Step 1, Epoch 88: Retain=63.76, New=76.48, Forget=0.00, Combined=66.30, Balanced=70.12, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:20:28,300 - INFO - Step 1, Epoch 89: Retain=61.40, New=79.34, Forget=0.00, Combined=64.98, Balanced=70.37, Zero_Ratio=0.000, Phase=Balanced
