step,epoch,train_loss,forget_acc,retain_acc,new_acc,overall_acc
1,0,-,74.6239,75.3763,0.0000,60.3593
1,1,4.5106,0.0000,71.6274,37.2146,64.7714
1,2,4.1430,0.0000,71.7978,43.0365,66.0678
1,3,4.0988,0.0000,70.5765,48.1735,66.1133
1,4,4.0788,0.0000,70.5197,48.7443,66.1815
1,5,4.0545,0.0000,71.2014,51.7123,67.3186
1,6,4.0377,0.0000,70.1505,51.9406,66.5226
1,7,4.0341,0.0000,70.0369,60.0457,68.0464
1,8,4.0365,0.0000,69.6961,56.6210,67.0912
1,9,4.0079,0.0000,69.7813,62.2146,68.2738
1,10,3.9996,0.0000,70.1221,60.1598,68.1374
1,11,4.0082,0.0000,69.1281,64.9543,68.2966
1,12,3.9898,0.0000,70.3777,61.7580,68.6605
1,13,3.9750,0.0000,70.3777,65.5251,69.4110
1,14,3.9717,0.0000,69.4689,62.6712,68.1146
1,15,3.9751,0.0000,70.2641,63.5845,68.9334
1,16,3.9517,0.0000,69.8949,68.1507,69.5474
1,17,3.9657,0.0000,69.4689,68.8356,69.3427
1,18,3.9522,0.0000,69.5825,65.6393,68.7969
1,19,3.9351,0.0000,69.1281,69.1781,69.1380
1,20,3.9337,0.0000,68.7589,68.7215,68.7514
1,21,3.9380,0.0000,68.3613,69.9772,68.6832
1,22,3.9280,0.0000,71.1162,68.8356,70.6618
1,23,3.9200,0.0000,69.5541,71.1187,69.8658
1,24,3.9245,0.0000,69.4121,72.1461,69.9568
1,25,3.9118,0.0000,70.0937,71.6895,70.4116
1,26,3.9065,0.0000,70.3777,72.7169,70.8438
1,27,3.9118,0.0000,69.6961,73.2877,70.4116
1,28,3.9074,0.0000,70.0369,72.4886,70.5254
1,29,3.8871,0.0000,70.3777,74.5434,71.2076
1,30,3.8995,0.0000,70.1505,74.8858,71.0939
1,31,3.8797,0.0000,70.8606,73.7443,71.4351
1,32,3.8877,0.0000,68.7873,73.4018,69.7066
1,33,3.8892,0.0000,69.5541,75.3425,70.7073
1,34,3.8807,0.0000,70.1505,74.6575,71.0484
1,35,3.8743,0.0000,70.8606,73.4018,71.3668
1,36,3.8723,0.0000,69.6393,74.2009,70.5481
1,37,3.8464,0.0000,69.7245,75.0000,70.7755
